Provider,PotentialFraud,Age,NumPhysiciansSeen,NumProcedures,NumDiagnosisClaims,InscClaimAmtReimbursed,DeductibleAmtPaid,NoOfMonths_PartACov,NoOfMonths_PartBCov,IPAnnualReimbursementAmt,IPAnnualDeductibleAmt,OPAnnualReimbursementAmt,OPAnnualDeductibleAmt,ChronicCond_Alzheimer,ChronicCond_Heartfailure,ChronicCond_KidneyDisease,ChronicCond_Cancer,ChronicCond_ObstrPulmonary,ChronicCond_Depression,ChronicCond_Diabetes,ChronicCond_IschemicHeart,ChronicCond_Osteoporasis,ChronicCond_rheumatoidarthritis,ChronicCond_stroke
PRV51342,False,74.99033816425121,1.458937198067633,0.12560386473429952,3.6183574879227054,1723.574879227053,142.55339805825244,12.0,11.927536231884059,4841.256038647343,551.4009661835748,2272.995169082126,740.0483091787439,79,131,89,21,67,93,138,150,67,66,25
PRV51344,False,74.33333333333333,1.1818181818181819,0.0,2.6363636363636362,795.4545454545455,64.72727272727273,12.0,12.0,2932.7272727272725,388.3636363636364,2906.6666666666665,759.6969696969697,10,15,11,7,5,14,17,23,13,14,3
PRV51345,False,72.57142857142857,1.2857142857142858,0.0,2.8979591836734695,308.57142857142856,4.489795918367347,12.0,12.0,5650.408163265306,523.1020408163265,3125.1020408163267,949.5918367346939,17,33,16,5,12,23,32,39,12,16,8
PRV51346,False,74.17669172932331,1.3909774436090225,0.03007518796992481,3.0601503759398496,392.81954887218046,21.8796992481203,11.909774436090226,11.977443609022556,4817.857142857143,595.5488721804511,2252.3684210526317,686.390977443609,116,154,123,36,90,119,184,198,90,96,27
PRV51347,True,73.85437832607644,1.313014029995162,0.0004837929366231253,2.8471214320270923,288.7760038703435,2.4625060474117078,11.953072085147557,11.900338655055636,3412.88824383164,427.2491533623609,2269.661344944364,708.2196419932269,849,1133,814,316,600,856,1432,1524,626,654,204
PRV51348,False,75.41818181818182,1.3818181818181818,0.21818181818181817,5.163636363636364,2769.6363636363635,371.6727272727273,12.0,12.0,9696.545454545454,1105.6,2743.4545454545455,941.6363636363636,26,38,35,6,23,28,41,41,23,19,7
PRV51349,False,76.86666666666666,1.4333333333333333,0.06666666666666667,3.7333333333333334,1349.3333333333333,180.33333333333334,12.0,12.0,4467.0,640.8,1509.3333333333333,393.6666666666667,10,19,9,5,12,18,19,25,7,12,2
PRV51350,False,75.81171548117155,1.5313807531380754,0.07531380753138076,3.3765690376569037,892.8033472803347,97.14644351464435,11.94979079497908,11.899581589958158,4216.610878661088,719.2887029288703,2581.673640167364,786.4853556485356,106,148,102,42,80,113,170,190,73,68,26
PRV51351,False,76.59375,1.125,0.0,3.34375,338.75,0.0,12.0,12.0,9223.75,667.5,2482.8125,826.5625,15,21,16,3,12,10,25,23,12,7,7
PRV51352,False,85.25,1.5,0.0,3.5,1475.0,0.0,12.0,12.0,750.0,267.0,4315.0,1602.5,1,3,1,0,1,1,1,2,0,1,1
PRV51353,False,70.83333333333333,1.5555555555555556,0.3888888888888889,3.7777777777777777,2845.0,299.44444444444446,12.0,12.0,6392.222222222223,652.6666666666666,1273.3333333333333,391.1111111111111,7,8,4,4,3,5,10,16,6,7,1
PRV51354,False,74.25,2.0,0.5,5.25,2610.0,0.0,12.0,12.0,6000.0,534.0,507.5,392.5,3,2,1,1,0,1,2,2,1,1,2
PRV51355,False,74.62162162162163,1.3783783783783783,0.14864864864864866,3.4594594594594597,1960.2702702702702,219.59459459459458,12.0,12.0,6119.189189189189,707.1891891891892,1602.7027027027027,586.8918918918919,32,39,34,9,24,29,49,60,19,23,4
PRV51356,False,74.2421052631579,1.431578947368421,0.1368421052631579,3.4947368421052634,1976.842105263158,183.59574468085106,11.873684210526315,11.726315789473684,7153.789473684211,615.4947368421052,1885.2631578947369,537.3684210526316,34,53,33,12,26,42,67,71,32,32,11
PRV51357,True,73.25465838509317,1.5527950310559007,0.08695652173913043,3.130434782608696,1274.0993788819876,80.85,11.925465838509316,11.894409937888199,3895.9627329192544,563.304347826087,2083.8509316770187,640.5590062111801,71,89,60,17,47,76,103,116,55,52,10
PRV51358,False,79.76470588235294,1.3529411764705883,0.35294117647058826,4.9411764705882355,3600.5882352941176,443.29411764705884,12.0,12.0,8630.0,879.5294117647059,1500.5882352941176,607.6470588235294,8,10,9,4,2,8,12,13,9,4,1
PRV51360,False,71.44827586206897,1.4482758620689655,0.3448275862068966,3.8620689655172415,3249.310344827586,336.62068965517244,12.0,12.0,7041.379310344828,662.8965517241379,1626.551724137931,546.2068965517242,8,14,9,5,4,12,16,19,8,4,5
PRV51361,False,80.5,1.375,0.0,2.9375,245.9375,4.0625,12.0,11.8125,7986.875,855.0,1961.5625,622.8125,13,20,13,5,9,12,21,19,8,9,5
PRV51362,False,77.70454545454545,1.3181818181818181,0.09090909090909091,3.5681818181818183,3439.090909090909,145.63636363636363,12.0,12.0,8124.772727272727,911.5454545454545,3132.9545454545455,846.8181818181819,22,25,20,3,17,21,35,31,17,15,5
PRV51363,False,79.33333333333333,1.3333333333333333,0.0,4.333333333333333,50.0,0.0,12.0,12.0,0.0,0.0,3366.6666666666665,926.6666666666666,1,2,1,1,1,0,2,3,0,1,0
PRV51364,False,72.47826086956522,1.565217391304348,0.21739130434782608,4.913043478260869,2427.391304347826,282.95652173913044,12.0,12.0,5031.739130434783,650.0869565217391,2069.1304347826085,613.0434782608696,17,18,12,6,8,12,16,19,6,8,3
PRV51366,False,69.80701754385964,1.1403508771929824,0.0,2.43859649122807,321.7543859649123,3.1578947368421053,12.0,12.0,2835.2631578947367,337.2631578947368,2067.3684210526317,480.0,26,40,31,8,16,24,43,37,19,21,7
PRV51368,False,70.5,1.0,0.0,3.5,142.5,15.0,12.0,12.0,0.0,0.0,592.5,252.5,1,4,1,0,1,1,2,3,1,2,1
PRV51369,True,74.46375420067211,1.1953912626020162,0.0009601536245799327,2.7662025924147864,288.96303408545367,3.014882381180989,11.953912626020163,11.947671627460394,4284.287085933749,467.7657225156025,2633.202112337974,768.0316850696112,800,1229,923,278,649,900,1515,1593,689,602,251
PRV51371,False,75.3695652173913,1.2608695652173914,0.21739130434782608,3.869565217391304,2024.5652173913043,256.4782608695652,12.0,11.91304347826087,5269.130434782609,696.5217391304348,2066.086956521739,561.9565217391304,18,25,18,10,20,19,30,33,13,14,6
PRV51376,False,75.23529411764706,1.2156862745098038,0.0,3.0784313725490198,380.7843137254902,1.7647058823529411,12.0,12.0,2971.764705882353,356.0,2721.176470588235,740.1960784313726,15,31,19,11,13,21,33,38,17,17,5
PRV51377,False,73.56842105263158,1.231578947368421,0.031578947368421054,2.663157894736842,1304.7368421052631,38.252631578947366,12.0,12.0,5928.9473684210525,517.1368421052632,2451.684210526316,657.3684210526316,39,53,37,12,30,37,58,67,30,30,7
PRV51378,True,73.63354037267081,1.6521739130434783,0.5590062111801242,7.3105590062111805,7548.88198757764,710.0,11.850931677018634,11.968944099378882,17521.86335403727,1533.9130434782608,2086.583850931677,596.5217391304348,66,110,85,26,60,90,131,138,58,63,27
PRV51379,False,72.18181818181819,1.3181818181818181,0.0,3.0,879.0909090909091,98.0,12.0,12.0,8027.272727272727,631.0909090909091,3375.4545454545455,810.9090909090909,5,14,9,3,5,10,16,18,7,8,2
PRV51380,False,75.625,1.5,0.625,6.5,6445.0,534.0,12.0,12.0,6980.0,667.5,2068.75,525.0,5,5,3,0,2,3,5,5,3,4,0
PRV51382,False,72.875,1.0625,0.0,3.125,427.5,5.625,11.25,12.0,6421.875,534.0,1380.0,371.25,7,10,7,2,7,5,10,15,6,6,0
PRV51383,False,73.24675324675324,1.5064935064935066,0.03896103896103896,3.6103896103896105,1408.9610389610389,126.12987012987013,12.0,12.0,5968.311688311688,679.6363636363636,2507.7922077922076,728.0519480519481,34,48,36,17,26,36,63,62,34,33,11
PRV51386,False,74.76701570680628,1.2774869109947644,0.0,2.981675392670157,260.0,3.481675392670157,11.979057591623036,11.905759162303665,5633.664921465968,597.4240837696335,2474.8429319371726,796.7539267015707,154,219,143,47,109,149,272,276,108,134,38
PRV51387,False,73.50847457627118,1.305084745762712,0.1864406779661017,4.203389830508475,1939.322033898305,235.66101694915255,11.796610169491526,12.0,4939.661016949152,759.1186440677966,3287.2881355932204,881.1864406779661,26,46,28,13,19,36,45,49,26,24,7
PRV51388,False,70.36046511627907,1.4534883720930232,0.10465116279069768,3.7790697674418605,2221.046511627907,177.0,12.0,12.0,5911.395348837209,737.7209302325581,3068.6046511627906,743.0232558139535,40,51,38,14,31,35,62,69,26,33,5
PRV51389,False,73.24050632911393,1.5696202531645569,0.17721518987341772,4.2784810126582276,1942.6582278481012,244.1012658227848,11.848101265822784,12.0,4830.7594936708865,608.3544303797469,1551.139240506329,460.37974683544303,20,48,23,9,26,30,56,60,24,25,5
PRV51390,True,74.05454545454545,1.2,0.4618181818181818,6.530909090909091,5844.581818181819,634.3809523809524,11.912727272727272,11.898181818181818,11079.381818181819,1177.6727272727273,1861.5272727272727,512.8363636363637,130,189,146,39,110,134,211,232,87,90,27
PRV51391,False,73.79661016949153,1.3728813559322033,0.03389830508474576,3.384180790960452,815.819209039548,74.35227272727273,11.728813559322035,11.994350282485875,4519.661016949152,544.090395480226,2349.6610169491523,749.54802259887,73,106,70,22,45,78,120,130,73,54,14
PRV51392,False,78.05882352941177,1.0,0.0,2.764705882352941,97.6470588235294,2.9411764705882355,11.294117647058824,12.0,7090.588235294118,1068.0,1426.4705882352941,375.88235294117646,6,6,12,2,7,12,14,13,6,5,2
PRV51393,True,75.77692307692308,1.2274725274725276,0.05824175824175824,3.2274725274725276,996.010989010989,78.75413450937155,11.986813186813187,11.96043956043956,4370.450549450549,394.44395604395606,1634.6923076923076,536.3626373626373,359,494,347,87,268,348,626,616,287,258,61
PRV51394,False,73.25,1.0,0.0,2.0,115.0,0.0,12.0,12.0,0.0,0.0,990.0,230.0,1,2,2,0,0,0,2,3,0,0,0
PRV51395,False,72.3,1.15,0.0,3.65,520.0,0.0,12.0,12.0,4420.0,320.4,3876.5,1015.5,7,11,9,3,8,10,15,15,5,4,3
PRV51396,False,73.9090909090909,1.2954545454545454,0.0,3.1363636363636362,398.1818181818182,72.81818181818181,11.181818181818182,12.0,3131.3636363636365,358.0,1826.8181818181818,531.1363636363636,11,25,9,4,11,17,32,32,16,10,5
PRV51397,False,76.35,1.225,0.0,2.85,446.75,0.0,11.7,12.0,6091.75,480.6,1648.5,520.0,15,19,18,5,13,14,29,31,14,10,3
PRV51398,False,75.93023255813954,1.1511627906976745,0.0,3.186046511627907,360.93023255813955,14.395348837209303,11.581395348837209,11.581395348837209,4881.627906976744,571.2558139534884,2167.7906976744184,597.6744186046511,34,58,35,12,23,32,69,65,34,26,12
PRV51399,True,72.83412322274881,1.3838862559241707,0.23222748815165878,4.687203791469194,4005.071090047393,330.7047619047619,11.886255924170616,11.943127962085308,7447.1563981042655,900.4549763033175,2664.5023696682465,577.5924170616114,85,121,94,38,67,95,160,166,78,78,22
PRV51401,True,70.52380952380952,1.4761904761904763,0.19047619047619047,3.9761904761904763,2179.0476190476193,186.0,12.0,12.0,8884.761904761905,846.1904761904761,2958.3333333333335,896.9047619047619,17,26,22,6,12,18,35,34,18,16,5
PRV51403,False,74.79824561403508,1.3245614035087718,0.12280701754385964,2.991228070175439,2429.9122807017543,97.80701754385964,12.0,12.0,9689.035087719298,875.2631578947369,2112.1929824561403,680.3508771929825,33,75,48,15,37,50,80,89,39,49,6
PRV51404,False,73.40677966101696,1.6610169491525424,0.01694915254237288,3.389830508474576,497.45762711864404,23.1864406779661,11.864406779661017,12.0,3366.6101694915255,375.52542372881356,2120.169491525424,453.5593220338983,22,35,22,9,13,24,41,42,17,22,3
PRV51405,False,71.79591836734694,1.1224489795918366,0.0,3.0408163265306123,483.8775510204082,43.59183673469388,12.0,11.877551020408163,3105.714285714286,414.1224489795918,2127.1428571428573,608.5714285714286,20,26,12,3,13,22,34,43,15,14,2
PRV51406,False,72.79310344827586,1.206896551724138,0.1724137931034483,4.896551724137931,3595.1724137931033,267.0,11.586206896551724,12.0,7625.517241379311,847.0344827586207,3404.8275862068967,1014.4827586206897,16,16,14,4,11,14,22,24,10,9,2
PRV51408,False,76.53333333333333,0.9333333333333333,0.0,2.3333333333333335,92.66666666666667,0.0,12.0,12.0,4981.333333333333,356.0,1392.6666666666667,465.3333333333333,5,6,4,2,3,4,9,11,5,3,0
PRV51409,False,59.75,1.75,0.0,2.25,75.0,0.0,12.0,12.0,0.0,0.0,1310.0,395.0,1,2,2,0,2,3,4,3,1,2,0
PRV51410,True,75.6592356687898,1.4378980891719746,0.0015923566878980893,2.7770700636942673,282.7229299363057,3.0573248407643314,11.980891719745223,11.980891719745223,3475.6528662420383,343.20382165605093,2566.3216560509554,698.7420382165606,217,357,297,100,219,271,431,511,221,227,111
PRV51412,False,85.8,1.8,0.0,2.8,88.0,0.0,12.0,12.0,3864.0,213.6,1072.0,638.0,2,3,2,3,1,1,3,3,4,0,0
PRV51414,False,72.25,1.6428571428571428,0.07142857142857142,4.25,1079.642857142857,114.42857142857143,12.0,12.0,12086.785714285714,1029.857142857143,3833.9285714285716,922.8571428571429,13,22,17,3,11,17,25,19,9,9,2
PRV51415,False,72.66666666666667,1.3725490196078431,0.13725490196078433,3.4901960784313726,1248.8235294117646,147.9607843137255,12.0,12.0,3134.901960784314,439.7647058823529,3412.9411764705883,983.9215686274509,22,33,22,8,11,14,38,41,18,22,5
PRV51416,False,72.72839506172839,1.0,0.0,2.345679012345679,316.5432098765432,3.45679012345679,11.851851851851851,12.0,3720.864197530864,450.320987654321,2576.6666666666665,730.3703703703703,36,50,33,5,20,31,56,56,21,21,8
PRV51418,False,72.31147540983606,1.360655737704918,0.22950819672131148,4.426229508196721,3103.934426229508,303.04918032786884,12.0,12.0,8025.573770491803,717.8360655737705,1806.2295081967213,535.9016393442623,29,37,26,8,24,28,44,45,24,19,10
PRV51419,False,75.92307692307692,1.4461538461538461,0.015384615384615385,2.6923076923076925,480.7692307692308,33.784615384615385,12.0,11.723076923076922,5577.384615384615,607.9384615384615,1829.076923076923,547.8461538461538,20,38,25,14,23,26,47,45,19,24,3
PRV51421,True,74.09352517985612,1.4964028776978417,0.4748201438848921,6.215827338129497,6365.323741007194,643.5072463768116,11.913669064748202,11.913669064748202,12847.48201438849,1380.4892086330935,2151.9424460431655,648.1294964028777,67,94,64,17,47,69,105,112,41,49,14
PRV51422,False,75.76,1.36,0.16,3.92,1957.2,175.28,12.0,12.0,11158.4,823.68,4200.0,1584.4,12,20,13,3,11,16,21,23,9,8,4
PRV51423,False,99.0,2.0,0.0,5.0,50.0,100.0,12.0,12.0,0.0,0.0,3440.0,1710.0,0,1,1,1,1,0,1,1,0,0,0
PRV51424,False,74.04651162790698,1.2790697674418605,0.0,2.7906976744186047,345.0,15.674418604651162,12.0,12.0,4920.46511627907,483.5348837209302,2557.3255813953488,710.6976744186046,35,48,29,11,25,37,56,67,25,32,8
PRV51425,False,73.48484848484848,1.3333333333333333,0.030303030303030304,3.606060606060606,787.5757575757576,97.0909090909091,12.0,11.93939393939394,3890.3030303030305,879.3939393939394,3223.030303030303,966.060606060606,18,15,15,2,10,17,26,21,17,9,8
PRV51426,True,72.97572815533981,1.203883495145631,0.019417475728155338,2.9902912621359223,704.3689320388349,33.8252427184466,12.0,12.0,3537.5728155339807,698.1165048543689,2036.3592233009708,615.9223300970874,102,128,94,41,53,80,160,157,87,54,21
PRV51427,False,72.93103448275862,1.3620689655172413,0.05172413793103448,3.3275862068965516,1013.2758620689655,95.0,11.379310344827585,12.0,4833.9655172413795,534.0,2404.655172413793,623.7931034482758,20,35,21,7,18,26,41,44,17,18,3
PRV51428,False,76.16666666666667,1.4393939393939394,0.015151515151515152,3.590909090909091,727.8787878787879,65.93939393939394,12.0,12.0,5862.121212121212,598.7272727272727,2573.6363636363635,815.4545454545455,26,45,30,9,28,29,42,54,16,22,5
PRV51429,False,67.0,1.4,0.0,2.7,110.0,0.0,12.0,12.0,600.0,106.8,671.0,474.0,3,2,1,2,0,2,4,7,3,3,0
PRV51430,False,76.04464285714286,1.3839285714285714,0.10714285714285714,3.4464285714285716,1908.0357142857142,158.99099099099098,12.0,11.964285714285714,4776.964285714285,558.9642857142857,1782.767857142857,479.19642857142856,44,62,41,11,35,38,83,79,41,36,10
PRV51431,False,76.61224489795919,1.2653061224489797,0.3469387755102041,6.0,4831.0204081632655,540.25,11.755102040816327,12.0,9743.469387755102,1068.0,2627.5510204081634,692.2448979591836,23,22,29,13,17,16,37,40,24,19,4
PRV51432,False,72.30434782608695,1.608695652173913,0.34782608695652173,4.086956521739131,2576.9565217391305,331.1304347826087,12.0,12.0,6111.304347826087,789.3913043478261,1102.608695652174,471.7391304347826,10,14,5,4,3,11,14,17,10,9,3
PRV51433,True,73.96459627329193,1.4714285714285715,0.0006211180124223603,2.8093167701863355,282.37888198757764,2.900621118012422,11.95527950310559,11.934782608695652,4492.229813664596,505.5453416149068,2285.3229813664598,670.5900621118012,600,909,712,225,485,724,1157,1221,542,494,180
PRV51434,True,74.22549019607843,1.4705882352941178,0.19607843137254902,4.46078431372549,2749.901960784314,245.98019801980197,12.0,11.941176470588236,9294.607843137255,856.156862745098,2394.4117647058824,651.6666666666666,49,68,51,18,32,45,74,77,29,30,12
PRV51435,False,77.78260869565217,1.434782608695652,0.08695652173913043,4.391304347826087,1461.7391304347825,278.60869565217394,12.0,12.0,5849.130434782609,510.7826086956522,1603.4782608695652,613.0434782608696,7,13,8,2,6,6,13,16,6,7,2
PRV51436,False,75.55833333333334,1.525,0.125,4.166666666666667,1611.75,226.41666666666666,11.9,11.9,7983.666666666667,796.4666666666667,1872.4166666666667,591.0,48,72,53,18,36,65,91,96,42,34,14
PRV51437,False,76.0,1.0,0.0,2.0,440.0,0.0,12.0,12.0,0.0,0.0,2950.0,760.0,1,2,0,1,0,1,2,2,1,1,0
PRV51438,False,74.11111111111111,1.1111111111111112,0.0,3.7777777777777777,2167.777777777778,237.33333333333334,12.0,12.0,17253.333333333332,1186.6666666666667,3231.1111111111113,1034.4444444444443,2,6,3,2,1,4,6,6,1,6,3
PRV51439,False,76.64285714285714,1.2619047619047619,0.0,3.142857142857143,358.0952380952381,5.0,12.0,12.0,3389.5238095238096,315.42857142857144,3183.3333333333335,1046.1904761904761,10,25,14,4,13,21,30,32,19,14,3
PRV51440,False,77.56338028169014,1.267605633802817,0.08450704225352113,3.647887323943662,1498.3098591549297,92.97142857142858,12.0,11.830985915492958,3859.718309859155,563.943661971831,2591.4084507042253,715.7746478873239,30,39,23,8,18,24,46,51,31,20,8
PRV51441,False,75.37647058823529,1.1294117647058823,0.0,2.929411764705882,342.70588235294116,3.411764705882353,12.0,12.0,3345.294117647059,435.01176470588234,2534.705882352941,632.4705882352941,28,39,27,11,19,32,51,59,30,28,8
PRV51442,False,78.16666666666667,1.5,0.0,3.8333333333333335,4328.333333333333,356.0,12.0,12.0,4513.333333333333,534.0,3845.0,1245.0,4,1,2,0,1,3,4,4,2,2,0
PRV51443,False,73.36986301369863,1.2465753424657535,0.0273972602739726,2.7945205479452055,464.3835616438356,33.23287671232877,12.0,12.0,3267.3972602739727,325.972602739726,3603.8356164383563,1029.041095890411,29,43,35,14,27,25,50,57,27,19,6
PRV51444,False,73.30952380952381,1.3095238095238095,0.09523809523809523,3.5238095238095237,1760.0,101.71428571428571,11.714285714285714,12.0,4488.333333333333,432.2857142857143,2478.3333333333335,667.1428571428571,17,25,21,4,11,24,35,32,12,9,6
PRV51446,False,72.33333333333333,1.7083333333333333,0.5416666666666666,5.958333333333333,4057.9166666666665,510.7826086956522,11.5,12.0,9681.666666666666,1318.0,1490.0,492.9166666666667,9,16,10,3,5,13,18,18,8,9,4
PRV51447,True,73.58426966292134,1.4606741573033708,0.15730337078651685,3.797752808988764,3026.85393258427,194.58426966292134,11.865168539325843,12.0,8007.752808988764,552.0,2029.887640449438,651.2359550561798,33,49,36,17,28,30,60,75,28,25,9
PRV51448,False,73.6470588235294,1.5098039215686274,0.19607843137254902,3.5686274509803924,2265.6862745098038,230.35294117647058,12.0,12.0,5429.411764705882,732.9411764705883,2338.627450980392,667.0588235294117,27,32,24,7,18,23,38,41,15,20,7
PRV51449,False,73.29411764705883,1.588235294117647,0.35294117647058826,5.647058823529412,4104.705882352941,534.0,12.0,12.0,9978.823529411764,1558.5882352941176,1285.2941176470588,489.4117647058824,8,9,12,3,7,8,13,12,7,6,3
PRV51451,False,72.16666666666667,1.0,0.0,2.3333333333333335,195.0,0.0,12.0,12.0,4173.333333333333,356.0,685.0,211.66666666666666,2,5,3,0,1,2,4,4,2,2,1
PRV51453,False,77.33333333333333,1.3333333333333333,0.0,2.5833333333333335,590.0,8.333333333333334,10.0,12.0,2290.0,623.0,3987.5,1260.0,6,10,5,3,5,7,8,10,6,4,0
PRV51454,False,78.0,1.3823529411764706,0.0,2.823529411764706,312.6470588235294,4.117647058823529,11.647058823529411,12.0,4000.294117647059,408.3529411764706,3676.764705882353,1062.6470588235295,18,16,11,5,13,14,24,30,10,16,3
PRV51455,False,72.61764705882354,1.588235294117647,0.20588235294117646,4.470588235294118,3342.6470588235293,284.1764705882353,12.0,12.0,10471.764705882353,848.1176470588235,1881.1764705882354,584.7058823529412,12,19,11,7,8,19,22,29,12,13,4
PRV51456,False,74.74814814814815,1.0,0.562962962962963,7.7407407407407405,7696.222222222223,883.3082706766917,12.0,12.0,14323.777777777777,1815.0518518518518,1216.6666666666667,488.2962962962963,69,94,70,34,48,73,112,110,44,43,17
PRV51458,False,75.03571428571429,1.2142857142857142,0.0,2.5714285714285716,222.14285714285714,4.285714285714286,12.0,12.0,1903.0357142857142,381.42857142857144,1548.75,419.82142857142856,26,29,19,7,20,27,39,38,24,13,5
PRV51459,True,74.93131067961166,1.3014563106796118,0.0007281553398058253,2.805582524271845,281.78276699029124,2.7657766990291264,11.921601941747573,11.967839805825243,4123.5958737864075,476.31262135922333,2317.743932038835,662.2366504854369,3282,4638,3111,1238,2312,3592,5784,6074,2531,2511,810
PRV51460,False,73.94469026548673,1.413716814159292,0.028761061946902654,2.9623893805309733,740.0,42.80088495575221,11.938053097345133,11.969026548672566,4505.907079646017,548.9380530973451,2087.1017699115046,581.6150442477876,186,251,166,63,133,181,300,337,138,124,30
PRV51462,False,77.26666666666667,1.1666666666666667,0.0,2.7333333333333334,314.3333333333333,0.0,12.0,12.0,5506.0,605.2,2265.0,654.3333333333334,7,22,16,2,10,10,20,24,13,16,5
PRV51464,False,75.39310344827587,1.4413793103448276,0.0,2.420689655172414,265.7241379310345,2.206896551724138,12.0,11.917241379310346,4479.793103448276,581.2689655172413,1821.7931034482758,538.4827586206897,48,71,53,21,43,52,91,104,58,40,13
PRV51465,False,68.85714285714286,1.2857142857142858,0.0,4.428571428571429,557.1428571428571,152.57142857142858,12.0,12.0,7571.428571428572,834.2857142857143,1735.7142857142858,765.7142857142857,2,4,3,3,2,3,4,4,4,3,1
PRV51466,False,77.44594594594595,1.5135135135135136,0.06756756756756757,3.324324324324324,781.8918918918919,74.32432432432432,12.0,12.0,5721.621621621622,635.027027027027,2774.5945945945946,806.2162162162163,29,47,33,15,23,32,60,60,22,21,16
PRV51467,False,73.48,1.4,0.12,4.28,2970.4,267.0,12.0,12.0,5600.0,683.52,1608.0,480.0,11,16,11,8,7,7,13,18,12,8,1
PRV51468,False,73.90566037735849,1.471698113207547,0.0440251572327044,3.3710691823899372,872.1383647798742,96.53164556962025,12.0,11.924528301886792,4061.2578616352203,443.3207547169811,2103.9622641509436,708.9937106918239,65,91,60,16,48,61,110,125,49,61,13
PRV51469,False,76.25,1.4642857142857142,0.0,3.2857142857142856,333.92857142857144,0.0,12.0,12.0,3378.214285714286,381.42857142857144,2362.1428571428573,683.5714285714286,10,20,14,7,11,10,23,26,10,13,3
PRV51470,False,73.33333333333333,1.5185185185185186,0.1111111111111111,3.185185185185185,1318.148148148148,118.66666666666667,11.555555555555555,12.0,4948.518518518518,474.6666666666667,2672.5925925925926,684.4444444444445,13,14,12,4,12,10,19,21,10,7,8
PRV51471,True,74.42777777777778,1.5055555555555555,0.6277777777777778,8.261111111111111,8901.166666666666,952.0457142857143,12.0,12.0,14092.055555555555,1678.0444444444445,1776.111111111111,517.7222222222222,98,124,96,31,98,89,150,156,66,74,29
PRV51472,False,75.125,1.0625,0.0,2.0625,135.625,12.5,12.0,12.0,3636.875,667.5,1467.5,603.75,3,8,6,5,4,8,10,12,7,5,1
PRV51474,False,70.98591549295774,1.5633802816901408,0.5211267605633803,6.23943661971831,5792.394366197183,611.2857142857143,12.0,11.830985915492958,11903.661971830987,1052.9577464788733,2776.478873239437,594.0845070422536,38,47,26,6,17,41,62,59,32,25,12
PRV51475,False,73.4186046511628,1.3488372093023255,0.09302325581395349,3.9767441860465116,1700.6976744186047,274.13953488372096,12.0,12.0,5578.604651162791,695.4418604651163,2170.9302325581393,718.3720930232558,18,25,17,9,15,20,32,32,9,19,5
PRV51476,False,74.22222222222223,1.5555555555555556,0.16666666666666666,4.5,1121.111111111111,181.88888888888889,12.0,12.0,2122.777777777778,630.0,2986.6666666666665,1002.7777777777778,6,9,10,3,7,6,13,12,7,5,0
PRV51477,False,73.45454545454545,1.2272727272727273,0.0,3.0,451.8181818181818,0.0,11.045454545454545,11.454545454545455,3649.5454545454545,291.27272727272725,1855.0,385.0,6,13,6,4,3,8,14,10,12,5,2
PRV51478,False,72.11764705882354,1.2352941176470589,0.0,3.2941176470588234,231.1764705882353,1.1764705882352942,11.294117647058824,11.529411764705882,8957.64705882353,691.0588235294117,1299.4117647058824,512.9411764705883,8,10,8,2,1,8,13,14,7,6,1
PRV51479,False,73.53947368421052,1.293859649122807,0.07017543859649122,3.530701754385965,590.4824561403509,63.70175438596491,11.947368421052632,11.947368421052632,4574.473684210527,546.6929824561404,2311.5789473684213,748.7719298245614,87,143,92,35,65,96,155,180,70,78,19
PRV51480,True,73.95997920997921,1.449064449064449,0.0,2.851871101871102,289.95841995841994,2.8482328482328483,11.96881496881497,11.977650727650728,4798.440748440748,657.5738045738045,2236.226611226611,644.0592515592516,764,1121,815,299,548,871,1367,1481,613,598,182
PRV51482,True,76.23076923076923,1.4835164835164836,0.054945054945054944,3.659340659340659,2400.769230769231,130.1978021978022,11.868131868131869,12.0,6667.582417582417,586.8131868131868,1853.7362637362637,522.0879120879121,31,51,41,15,29,38,72,71,34,25,9
PRV51483,False,75.27272727272727,1.4805194805194806,0.05194805194805195,3.4285714285714284,784.4155844155844,71.44736842105263,11.844155844155845,12.0,4575.714285714285,586.7012987012987,2593.896103896104,851.038961038961,38,48,40,6,31,35,59,60,29,26,6
PRV51484,False,72.65116279069767,1.1511627906976745,0.0,3.1511627906976742,274.06976744186045,26.0,12.0,12.0,7173.488372093023,738.0,3936.6279069767443,895.3023255813954,37,45,43,8,34,33,74,74,39,29,13
PRV51486,False,76.66355140186916,1.2523364485981308,0.0,2.7289719626168223,250.74766355140187,2.102803738317757,12.0,11.94392523364486,2802.1495327102803,280.8785046728972,1991.6355140186915,597.6168224299065,73,110,73,21,60,82,142,149,79,58,10
PRV51487,False,73.07692307692308,1.2307692307692308,0.0,2.5384615384615383,710.7692307692307,4.615384615384615,12.0,12.0,3492.3076923076924,328.61538461538464,2593.076923076923,537.6923076923077,8,8,7,2,4,4,12,10,5,4,1
PRV51488,False,74.71323529411765,1.3272058823529411,0.007352941176470588,3.0,400.4779411764706,13.838235294117647,11.955882352941176,12.0,5248.051470588235,500.36764705882354,2207.573529411765,659.2647058823529,118,172,117,49,82,109,194,212,86,76,31
PRV51490,True,72.921875,1.171875,0.421875,7.0625,6907.34375,801.0,12.0,12.0,12615.78125,2303.4375,2671.875,683.59375,36,42,30,9,30,39,52,53,21,25,11
